Speed,instance,QS phase,intercept,stiffness,MSE,R2,inverted
Subject2,1.022884,LRP,0.309,3.656,0.0,0.996,False
Subject2,1.022884,DP,0.727,1.783,0.007,0.96,False
Subject2,1.064725,CP,-0.033,-0.045,0.0,0.465,False
Subject2,1.064725,ERP,0.168,1.636,0.0,0.983,False
Subject2,1.064725,LRP,-0.671,6.602,0.001,0.964,False
Subject2,1.064725,DP,0.597,1.782,0.004,0.967,False
Subject2,1.100431,CP,-0.025,-0.044,0.0,0.39,False
Subject2,1.100431,ERP,0.266,2.683,0.001,0.956,False
Subject2,1.100431,LRP,0.313,4.327,0.0,0.988,False
Subject2,1.100431,DP,0.725,2.137,0.003,0.977,False
Subject2,1.133327,CP,-0.039,0.029,0.0,0.293,False
Subject2,1.133327,ERP,0.234,2.983,0.002,0.956,False
Subject2,1.133327,LRP,0.256,3.969,0.0,0.999,False
Subject2,1.133327,DP,0.707,2.059,0.005,0.975,False
Subject2,1.147882,CP,0.001,-0.242,0.0,0.915,False
Subject2,1.147882,ERP,0.141,1.427,0.0,0.974,False
Subject2,1.147882,LRP,-0.175,4.444,0.001,0.986,False
Subject2,1.147882,DP,0.597,1.76,0.007,0.952,False
Subject2,1.3407950000000002,CP,-0.054,0.099,0.0,0.923,False
Subject2,1.3407950000000002,ERP,0.282,3.521,0.007,0.848,False
Subject2,1.3407950000000002,LRP,0.454,4.217,0.0,0.992,False
Subject2,1.3407950000000002,DP,0.899,1.827,0.004,0.976,False
Subject2,1.400374,CP,-0.062,0.058,0.0,0.523,False
Subject2,1.400374,ERP,0.138,1.808,0.001,0.929,False
Subject2,1.400374,LRP,-0.092,4.292,0.0,0.995,False
Subject2,1.400374,DP,0.648,1.763,0.004,0.972,False
Subject2,1.4009610000000001,CP,-0.047,-0.119,0.0,0.758,False
Subject2,1.4009610000000001,ERP,0.437,3.435,0.009,0.851,False
Subject2,1.4009610000000001,LRP,0.685,1.391,0.0,0.953,False
Subject2,1.4009610000000001,DP,0.699,1.62,0.001,0.986,False
Subject2,1.432323,CP,-0.051,0.021,0.0,0.183,False
Subject2,1.432323,ERP,0.338,2.928,0.004,0.897,False
Subject2,1.432323,LRP,0.466,3.223,0.001,0.976,False
Subject2,1.432323,DP,0.924,1.64,0.003,0.986,False
Subject2,1.454782,CP,-0.04,-0.043,0.0,0.441,False
Subject2,1.454782,ERP,0.164,1.647,0.001,0.922,False
Subject2,1.454782,LRP,-0.026,4.089,0.0,0.992,False
Subject2,1.454782,DP,0.677,1.693,0.005,0.967,False
Subject2,1.460423,CP,-0.062,0.064,0.0,0.673,False
Subject2,1.460423,ERP,0.263,2.998,0.006,0.869,False
Subject2,1.460423,LRP,0.362,4.392,0.001,0.971,False
Subject2,1.460423,DP,0.926,1.833,0.002,0.982,False
Subject2,1.460947,CP,-0.047,-0.029,0.0,0.167,False
Subject2,1.460947,ERP,0.245,3.026,0.002,0.946,False
Subject2,1.460947,LRP,0.194,4.138,0.002,0.927,False
Subject2,1.460947,DP,0.64,1.937,0.003,0.974,False
Subject2,1.471659,CP,-0.033,-0.104,0.0,0.808,False
Subject2,1.471659,ERP,0.176,1.681,0.002,0.891,False
Subject2,1.471659,LRP,0.077,3.698,0.001,0.97,False
Subject2,1.471659,DP,0.692,1.714,0.004,0.973,False
Subject2,1.476602,CP,-0.046,-0.033,0.0,0.262,False
Subject2,1.476602,ERP,0.335,3.054,0.008,0.813,False
Subject2,1.476602,LRP,0.453,4.677,0.0,0.989,False
Subject2,1.476602,DP,0.961,1.838,0.003,0.981,False
Subject2,1.525299,CP,-0.059,0.001,0.0,0.001,False
Subject2,1.525299,ERP,0.128,2.09,0.002,0.915,False
Subject2,1.525299,LRP,-0.151,4.664,0.001,0.981,False
Subject2,1.525299,DP,0.704,1.786,0.003,0.98,False
Subject2,1.679415,CP,-0.071,-0.011,0.0,0.04,False
Subject2,1.679415,ERP,0.293,3.342,0.009,0.803,False
Subject2,1.679415,LRP,0.532,2.481,0.0,0.959,False
Subject2,1.679415,DP,0.769,1.645,0.001,0.989,False
Subject2,1.735787,CP,-0.07,-0.043,0.0,0.457,False
Subject2,1.735787,ERP,0.127,1.816,0.002,0.885,False
Subject2,1.735787,LRP,0.018,4.109,0.001,0.984,False
Subject2,1.735787,DP,0.741,1.676,0.001,0.989,False
Subject2,1.8010979999999999,CP,-0.07,0.028,0.0,0.232,False
Subject2,1.8010979999999999,ERP,0.105,2.347,0.003,0.9,False
Subject2,1.8010979999999999,LRP,-0.075,4.645,0.001,0.973,False
Subject2,1.8010979999999999,DP,0.78,1.661,0.001,0.989,False
Subject3,0.9750049999999999,CP,-0.021,-0.028,0.0,0.014,False
Subject3,0.9750049999999999,ERP,0.192,1.825,0.0,0.992,False
Subject3,0.9750049999999999,LRP,-0.0,4.771,0.0,0.995,False
Subject3,0.9750049999999999,DP,0.453,3.028,0.016,0.941,False
Subject3,1.091213,CP,-0.016,-0.68,0.0,0.726,False
Subject3,1.091213,ERP,0.25,4.204,0.003,0.972,False
Subject3,1.091213,LRP,0.246,5.039,0.0,0.962,False
