[2020-08-22 16:31:28.670] [warning] Couldn't find file 'ulna_rv.vtp'.
[2020-08-22 16:31:28.670] [warning] Couldn't find file 'radius_rv.vtp'.
[2020-08-22 16:31:28.670] [warning] Couldn't find file 'pisiform_rvs.vtp'.
[2020-08-22 16:31:28.670] [warning] Couldn't find file 'lunate_rvs.vtp'.
[2020-08-22 16:31:28.671] [warning] Couldn't find file 'scaphoid_rvs.vtp'.
[2020-08-22 16:31:28.671] [warning] Couldn't find file 'triquetrum_rvs.vtp'.
[2020-08-22 16:31:28.671] [warning] Couldn't find file 'hamate_rvs.vtp'.
[2020-08-22 16:31:28.671] [warning] Couldn't find file 'capitate_rvs.vtp'.
[2020-08-22 16:31:28.671] [warning] Couldn't find file 'trapezoid_rvs.vtp'.
[2020-08-22 16:31:28.671] [warning] Couldn't find file 'trapezium_rvs.vtp'.
[2020-08-22 16:31:28.671] [warning] Couldn't find file 'metacarpal2_rvs.vtp'.
[2020-08-22 16:31:28.671] [warning] Couldn't find file 'index_proximal_rvs.vtp'.
[2020-08-22 16:31:28.671] [warning] Couldn't find file 'index_medial_rvs.vtp'.
[2020-08-22 16:31:28.671] [warning] Couldn't find file 'index_distal_rvs.vtp'.
[2020-08-22 16:31:28.671] [warning] Couldn't find file 'metacarpal3_rvs.vtp'.
[2020-08-22 16:31:28.671] [warning] Couldn't find file 'middle_proximal_rvs.vtp'.
[2020-08-22 16:31:28.671] [warning] Couldn't find file 'middle_medial_rvs.vtp'.
[2020-08-22 16:31:28.671] [warning] Couldn't find file 'middle_distal_rvs.vtp'.
[2020-08-22 16:31:28.671] [warning] Couldn't find file 'metacarpal4_rvs.vtp'.
[2020-08-22 16:31:28.671] [warning] Couldn't find file 'ring_proximal_rvs.vtp'.
[2020-08-22 16:31:28.671] [warning] Couldn't find file 'ring_medial_rvs.vtp'.
[2020-08-22 16:31:28.671] [warning] Couldn't find file 'ring_distal_rvs.vtp'.
[2020-08-22 16:31:28.671] [warning] Couldn't find file 'metacarpal5_rvs.vtp'.
[2020-08-22 16:31:28.671] [warning] Couldn't find file 'little_proximal_rvs.vtp'.
[2020-08-22 16:31:28.672] [warning] Couldn't find file 'little_medial_rvs.vtp'.
[2020-08-22 16:31:28.672] [warning] Couldn't find file 'little_distal_rvs.vtp'.
[2020-08-22 16:31:28.672] [warning] Couldn't find file 'metacarpal1_rvs.vtp'.
[2020-08-22 16:31:28.672] [warning] Couldn't find file 'thumb_proximal_rvs.vtp'.
[2020-08-22 16:31:28.672] [warning] Couldn't find file 'thumb_distal_rvs.vtp'.
[2020-08-22 16:31:28.672] [warning] Couldn't find file 'humerus_lv.vtp'.
[2020-08-22 16:31:28.672] [warning] Couldn't find file 'ulna_lv.vtp'.
