Label,Coordinate,R2 values
SACRUM,Y,0.9640726042048422
SACRUM,Z,0.5430689849785619
L_ILIAC,X,0.9994108628941967
L_ILIAC,Y,0.9804735409530412
L_ILIAC,Z,0.48983638155216813
R_GTROCH,X,0.9982665938121243
R_GTROCH,Y,0.9717448930371565
R_GTROCH,Z,0.6940789659321519
R_THIGH__1,X,0.9907405628842813
R_THIGH__1,Y,0.974138309295926
R_THIGH__1,Z,0.6290017716249202
R_THIGH_2,X,0.9703864909628728
R_THIGH_2,Y,0.9669627877030164
R_THIGH_2,Z,0.7494593302381939
R_THIGH_3,X,0.9871263465809862
R_THIGH_3,Y,0.9659337174981782
R_THIGH_3,Z,0.7791484226264851
R_THIGH_4,X,0.9876868729619521
R_THIGH_4,Y,0.9807267244973462
R_THIGH_4,Z,0.5743125249335508
R_SHANK_1,X,0.9862715538399005
R_SHANK_1,Y,0.9563665664884964
R_SHANK_1,Z,0.9611177712069916
R_SHANK_2,X,0.9849566038683076
R_SHANK_2,Y,0.9532418985955398
R_SHANK_2,Z,0.8699089532542912
R_SHANK_3,X,0.982105768617973
R_SHANK_3,Y,0.9303987377109243
R_SHANK_3,Z,0.9058375257821902
R_SHANK_4,X,0.9844922874852231
R_SHANK_4,Y,0.9010355890233082
R_SHANK_4,Z,0.954039558999962
R_HEEL,X,0.9745678440315598
R_HEEL,Y,0.7657468395349087
R_HEEL,Z,0.9237719423521029
R_FOOT_LAT,X,0.9847068141463038
R_FOOT_LAT,Y,0.8807110843461081
R_FOOT_LAT,Z,0.7285650082670949
R_FOOT_MED,X,0.9810882588386175
R_FOOT_MED,Y,0.8122627976250554
R_FOOT_MED,Z,0.8168364234192472
L_GTROCH,X,0.9988881089834877
L_GTROCH,Y,0.9754308514636448
L_GTROCH,Z,0.3934021164380067
L_THIGH_1,X,0.9984941425337212
L_THIGH_1,Y,0.8134233865250685
L_THIGH_1,Z,0.6514776630004571
L_THIGH_2,X,0.9705764957200578
L_THIGH_2,Y,0.8959893154087832
L_THIGH_2,Z,0.2658758625423733
L_THIGH_3,X,0.9978623468787365
L_THIGH_3,Y,0.544654774029952
L_THIGH_3,Z,0.26099450329249985
L_THIGH_4,X,0.9980288803425714
L_THIGH_4,Y,0.6628912953532708
L_THIGH_4,Z,0.6304111363758103
L_SHANK_1,X,0.9897571669915334
L_SHANK_1,Y,0.7874867870383311
L_SHANK_1,Z,0.8427552315126206
L_SHANK_2,X,0.9894127088102387
L_SHANK_2,Y,0.7693707033365733
L_SHANK_2,Z,0.7869961703732736
L_SHANK_3,X,0.982166037806329
L_SHANK_3,Y,0.820357241822808
L_SHANK_3,Z,0.7849906044255373
L_SHANK_4,X,0.9811454906334758
L_SHANK_4,Y,0.8522920495098898
L_SHANK_4,Z,0.8113437906117729
L_HEEL,X,0.972123337925308
L_HEEL,Y,0.8738001939422084
L_HEEL,Z,0.7432640214472688
L_FOOT_LAT,X,0.9716598246033589
L_FOOT_LAT,Y,0.7225872948492316
L_FOOT_LAT,Z,0.6101109542922365
L_FOOT_MED,X,0.9717845464435537
L_FOOT_MED,Y,0.8689226290939398
L_FOOT_MED,Z,0.5827459184877603
