,,Work Absorbed,Work produced,Work Total
S23,T05,0.2633,0.1846,0.44789999999999996
S24,T05,0.2014,0.0329,0.2343
S25,T05,0.1688,0.0121,0.1809
S26,T05,0.1639,0.1614,0.3253
S27,T05,0.1746,0.0797,0.25429999999999997
S28,T05,0.0738,0.0708,0.1446
S29,T05,0.2661,0.0379,0.304
S30,T05,0.2565,-0.0394,0.2959
S31,T05,0.2687,0.0905,0.35919999999999996
S32,T05,0.1799,0.2612,0.4411
S33,T05,0.2912,0.1058,0.397
S34,T05,0.1693,0.0575,0.2268
S35,T05,0.3429,0.0298,0.3727
S36,T05,0.202,0.0221,0.22410000000000002
S37,T05,0.1789,0.0694,0.24830000000000002
S38,T05,0.2218,0.1324,0.35419999999999996
S39,T05,0.1329,0.0966,0.22949999999999998
S40,T05,0.1173,0.1932,0.3105
S41,T05,0.1025,0.0911,0.1936
S42,T05,0.1777,0.0493,0.22699999999999998
S01,T06,0.1615,0.1975,0.359
S02,T06,0.0483,0.219,0.2673
S03,T06,0.2566,0.0693,0.32589999999999997
S04,T06,0.4101,0.2006,0.6107
S05,T06,0.2625,0.1626,0.42510000000000003
S06,T06,0.1709,0.1819,0.3528
S07,T06,0.2566,0.0693,0.32589999999999997
S08,T06,0.305,0.1767,0.4817
S09,T06,0.2179,0.1925,0.4104
S10,T06,0.2848,0.1767,0.4615
S11,T06,0.2377,0.3237,0.5614
S12,T06,0.1821,0.0523,0.2344
S13,T06,0.2107,0.0491,0.2598
S14,T06,0.0618,0.125,0.1868
S15,T06,0.0583,0.2704,0.3287
S16,T06,0.0693,0.0618,0.1311
S17,T06,0.1891,0.1612,0.3503
S18,T06,0.1431,0.1355,0.2786
S19,T06,0.3769,,
S20,T06,0.2271,0.1624,0.38949999999999996
S21,T06,0.1846,0.2696,0.4542
S22,T06,0.3407,0.2067,0.5474
S23,T06,0.1189,0.0105,0.12940000000000002
S24,T06,0.231,0.0502,0.2812
S25,T06,0.1931,0.053,0.24609999999999999
S26,T06,0.1515,0.2237,0.3752
S27,T06,0.0682,0.1482,0.21639999999999998
S28,T06,0.1354,0.1408,0.2762
S29,T06,0.1058,0.1458,0.25160000000000005
S30,T06,0.2856,-0.0187,0.3043
S31,T06,0.3099,0.1537,0.4636
S32,T06,0.0552,0.7226,0.7778
S33,T06,0.2877,0.1653,0.453
S34,T06,0.1947,0.1173,0.312
S35,T06,0.3596,0.1002,0.4598
S36,T06,0.2186,0.0823,0.3009
S37,T06,0.1318,0.1119,0.2437
S38,T06,0.1928,0.2406,0.4334
S39,T06,0.1141,0.1695,0.2836
S40,T06,0.0894,0.2926,0.382
S41,T06,0.085,0.1615,0.2465
S42,T06,0.1901,0.0475,0.23759999999999998
S01,T07,0.074,0.2842,0.3582
S02,T07,0.0582,0.2983,0.35650000000000004
S03,T07,0.1694,-0.0322,0.2016
S04,T07,0.4575,0.2635,0.7210000000000001
S05,T07,0.2929,0.2699,0.5628
S06,T07,0.1874,0.2088,0.3962
S07,T07,0.1694,-0.0322,0.2016
S08,T07,0.3174,0.2435,0.5609
S09,T07,0.2228,0.2416,0.46440000000000003
S10,T07,0.2485,0.288,0.5365
S11,T07,0.1788,0.3996,0.5784
S12,T07,0.2194,0.1139,0.33330000000000004
S13,T07,0.2166,0.0728,0.2894
S14,T07,0.0765,0.1823,0.2588
S15,T07,0.0489,0.3287,0.3776
S16,T07,0.1003,0.1011,0.2014
S17,T07,0.1838,0.2426,0.4264
S18,T07,0.0663,0.254,0.32030000000000003
S19,T07,0.3702,0.1472,0.5174
S20,T07,0.2347,0.1857,0.4204
S21,T07,0.1942,0.3489,0.5431
S22,T07,0.2508,0.0212,0.272
S23,T07,0.1568,0.3345,0.4913
S24,T07,0.2723,0.0823,0.35459999999999997
S25,T07,0.2034,0.0882,0.29159999999999997
S26,T07,0.133,0.2139,0.3469
S27,T07,0.0091,-0.0746,0.0837
S28,T07,0.1311,0.1366,0.2677
S29,T07,0.0848,0.1915,0.2763
S30,T07,0.2942,0.0568,0.35100000000000003
S31,T07,0.3011,0.2164,0.5175
S33,T07,0.0808,0.1875,0.2683
S34,T07,0.1989,0.0961,0.295
S35,T07,0.3271,0.1637,0.4908
S36,T07,0.11,-0.062,0.172
S37,T07,0.1286,0.1452,0.2738
S38,T07,0.1342,0.238,0.3722
S40,T07,-0.0014,0.3627,0.36410000000000003
S41,T07,0.0025,0.2168,0.2193
S42,T07,0.0614,0.061,0.12240000000000001
S01,T08,0.042,0.3512,0.3932
S02,T08,0.01,0.4376,0.4476
S03,T08,0.2925,0.1605,0.45299999999999996
S04,T08,0.4172,0.2778,0.6950000000000001
S05,T08,0.212,0.2066,0.41859999999999997
S06,T08,0.0852,-0.088,0.1732
S07,T08,0.2925,0.1605,0.45299999999999996
S08,T08,0.3216,0.2672,0.5888
S09,T08,0.0372,0.2508,0.28800000000000003
S10,T08,0.2392,0.3262,0.5654
S11,T08,0.2028,0.4932,0.6960000000000001
S12,T08,0.2382,0.1844,0.4226
S13,T08,0.2419,0.1284,0.37029999999999996
S14,T08,-0.0109,0.2624,0.27330000000000004
S15,T08,0.0456,0.3922,0.43779999999999997
S16,T08,0.0245,0.0204,0.0449
