,,AgeGroup,Age,Height,Mass,Gender,Dominance,LegLength,BorgScale,speed,mode,point 0,point 1,point 2,point 3,point 4,point 5,work abs,work prod,direction,CP,ERP,LRP,DP
S28,T06,Older,50,164.5,71.75,M,R,0.87,6.0,F,Treadmill,0.0,7.0,24.0,45.0,63.0,88.5,0.079,0.141,ccw,-0.353,2.88,0.03,5.722
S28,T07,Older,50,164.5,71.75,M,R,0.87,6.0,F,Treadmill,0.0,7.0,23.5,40.0,61.5,88.0,0.017,0.133,ccw,-0.328,2.292,-0.045,4.652
S29,OC,Older,71,175.0,65.35,M,L,0.91,10.0,C,Overground,0.0,6.0,22.5,43.5,63.0,82.0,0.094,0.18,ccw,1.266,1.71,9.345,3.579
S29,OF,Older,71,175.0,65.35,M,L,0.91,10.0,F,Overground,0.0,6.5,30.5,44.0,62.5,82.0,0.088,0.265,ccw,1.533,1.963,12.464,3.414
S29,OS,Older,71,175.0,65.35,M,L,0.91,10.0,S,Overground,0.0,5.5,30.0,48.5,65.5,83.5,0.131,0.054,ccw,0.864,2.633,7.824,3.5
S29,T01,Older,71,175.0,65.35,M,L,0.91,10.0,VS,Treadmill,0.0,5.0,30.0,54.0,67.5,81.0,0.068,0.131,cw,-1.05,4.069,3.487,4.2
S29,T02,Older,71,175.0,65.35,M,L,0.91,10.0,VS,Treadmill,0.0,6.0,28.5,52.5,67.0,81.5,0.065,0.141,cw,-1.251,3.316,4.668,3.959
S29,T03,Older,71,175.0,65.35,M,L,0.91,10.0,S,Treadmill,0.0,6.0,28.5,49.5,65.0,84.0,0.117,0.076,cw,-0.949,3.086,7.522,4.675
S29,T04,Older,71,175.0,65.35,M,L,0.91,10.0,S,Treadmill,0.0,6.5,29.0,49.5,64.0,87.5,0.131,0.011,ccw,-1.067,3.791,0.03,4.66
S29,T05,Older,71,175.0,65.35,M,L,0.91,10.0,C,Treadmill,0.0,6.5,30.5,46.0,64.5,85.5,0.146,0.042,ccw,-0.679,3.037,0.038,4.308
S29,T06,Older,71,175.0,65.35,M,L,0.91,10.0,F,Treadmill,0.0,7.0,29.0,43.0,64.5,85.5,0.104,0.147,ccw,-0.427,2.575,-0.004,3.944
S29,T07,Older,71,175.0,65.35,M,L,0.91,10.0,F,Treadmill,0.0,7.0,26.0,42.5,64.0,86.0,0.103,0.193,ccw,-0.229,2.431,-0.042,3.848
S30,OC,Older,58,157.0,48.4,F,R,0.79,10.0,C,Overground,0.0,6.0,30.5,47.0,65.5,84.5,0.169,0.019,ccw,0.466,1.264,6.159,3.321
S30,OF,Older,58,157.0,48.4,F,R,0.79,10.0,F,Overground,0.0,6.0,28.5,45.5,64.0,83.5,0.158,0.079,ccw,0.546,0.939,6.849,3.467
S30,OS,Older,58,157.0,48.4,F,R,0.79,10.0,S,Overground,0.0,5.5,29.5,49.0,66.0,83.5,0.161,0.035,cw,0.39,1.431,4.949,3.187
S30,T01,Older,58,157.0,48.4,F,R,0.79,10.0,VS,Treadmill,0.0,4.5,25.5,52.5,72.5,85.5,0.107,0.164,cw,-0.272,2.86,3.386,4.493
S30,T02,Older,58,157.0,48.4,F,R,0.79,10.0,VS,Treadmill,0.0,4.5,24.0,51.5,69.0,84.0,0.125,0.149,cw,-0.311,2.606,3.873,4.082
S30,T03,Older,58,157.0,48.4,F,R,0.79,10.0,S,Treadmill,0.0,5.5,28.5,51.0,67.5,84.0,0.145,0.124,cw,-0.517,2.192,5.132,4.137
S30,T04,Older,58,157.0,48.4,F,R,0.79,10.0,S,Treadmill,0.0,6.0,29.0,49.5,66.0,83.5,0.193,0.066,cw,-0.698,1.957,6.168,3.72
S30,T05,Older,58,157.0,48.4,F,R,0.79,10.0,C,Treadmill,0.0,6.0,31.5,49.0,65.5,85.0,0.2,0.037,cw,-0.601,1.448,7.302,3.598
S30,T06,Older,58,157.0,48.4,F,R,0.79,10.0,F,Treadmill,0.0,6.0,29.0,48.5,65.0,84.0,0.254,0.011,cw,-0.65,1.425,7.493,3.854
S30,T07,Older,58,157.0,48.4,F,R,0.79,10.0,F,Treadmill,0.0,6.0,30.0,47.0,64.5,84.5,0.239,0.05,ccw,-0.65,1.172,9.43,3.934
S30,T08,Older,58,157.0,48.4,F,R,0.79,10.0,VF,Treadmill,0.0,6.0,29.0,46.0,63.0,83.5,0.231,0.053,ccw,-0.692,0.651,9.941,4.515
S31,OC,Older,63,149.2,46.05,F,R,0.76,6.0,C,Overground,0.0,6.0,32.5,48.5,64.0,84.0,0.137,0.074,ccw,1.187,2.222,7.427,3.835
S31,OF,Older,63,149.2,46.05,F,R,0.76,6.0,F,Overground,0.0,7.0,33.5,46.5,64.0,86.0,0.111,0.17,ccw,1.397,1.947,8.418,3.545
S31,OS,Older,63,149.2,46.05,F,R,0.76,6.0,S,Overground,0.0,5.0,28.0,47.5,64.0,80.0,0.153,0.052,ccw,0.666,1.603,5.293,3.239
S31,T01,Older,63,149.2,46.05,F,R,0.76,6.0,VS,Treadmill,0.0,4.0,24.0,51.5,68.5,83.0,0.126,0.063,cw,-0.58,2.953,4.573,4.622
S31,T02,Older,63,149.2,46.05,F,R,0.76,6.0,VS,Treadmill,0.0,4.0,22.5,47.5,64.5,79.5,0.191,0.027,cw,-0.529,2.225,4.806,3.9
S31,T03,Older,63,149.2,46.05,F,R,0.76,6.0,S,Treadmill,0.0,5.5,22.5,47.5,64.5,82.5,0.178,0.003,ccw,-0.73,2.172,5.525,4.414
S31,T04,Older,63,149.2,46.05,F,R,0.76,6.0,S,Treadmill,0.0,5.5,22.5,45.0,64.0,83.5,0.171,0.053,ccw,-0.774,2.532,6.324,4.081
S31,T05,Older,63,149.2,46.05,F,R,0.76,6.0,C,Treadmill,0.0,5.5,28.5,44.5,63.5,84.5,0.149,0.094,ccw,-0.652,2.15,8.105,4.165
S31,T06,Older,63,149.2,46.05,F,R,0.76,6.0,F,Treadmill,0.0,6.0,30.5,44.5,63.5,86.0,0.152,0.15,ccw,-0.643,2.084,9.315,3.947
S31,T07,Older,63,149.2,46.05,F,R,0.76,6.0,F,Treadmill,0.0,6.5,30.5,43.5,63.0,88.0,0.131,0.217,ccw,-0.652,2.06,11.215,3.802
S31,T08,Older,63,149.2,46.05,F,R,0.76,6.0,VF,Treadmill,0.0,7.0,25.5,42.0,61.5,88.5,0.125,0.277,ccw,-0.673,1.653,10.709,3.862
S32,OC,Older,61,149.7,70.55,F,R,0.76,11.0,C,Overground,0.0,7.0,31.5,44.5,64.5,87.5,0.052,0.193,ccw,0.805,2.099,0.036,3.123
S32,OF,Older,61,149.7,70.55,F,R,0.76,11.0,F,Overground,0.0,8.0,33.0,47.5,62.5,86.5,0.031,0.325,ccw,0.999,1.779,-16.037,3.352
S32,OS,Older,61,149.7,70.55,F,R,0.76,11.0,S,Overground,0.0,5.5,32.5,51.0,65.5,83.5,0.138,0.024,ccw,0.445,1.879,6.963,3.18
S32,T01,Older,61,149.7,70.55,F,R,0.76,11.0,VS,Treadmill,0.0,3.5,33.5,54.0,70.0,83.0,0.104,0.035,cw,-0.29,2.152,5.901,3.702
S32,T02,Older,61,149.7,70.55,F,R,0.76,11.0,VS,Treadmill,0.0,4.5,34.0,52.5,68.0,84.0,0.133,0.027,ccw,-0.29,1.705,9.127,3.552
S32,T03,Older,61,149.7,70.55,F,R,0.76,11.0,S,Treadmill,0.0,5.5,34.5,48.5,67.0,85.5,0.129,0.117,ccw,-0.117,1.723,13.58,3.435
S32,T04,Older,61,149.7,70.55,F,R,0.76,11.0,S,Treadmill,0.0,5.0,30.0,45.0,65.0,85.0,0.085,0.176,ccw,0.325,2.296,11.444,3.418
S32,T05,Older,61,149.7,70.55,F,R,0.76,11.0,C,Treadmill,0.0,6.0,27.5,40.5,65.0,85.5,0.095,0.261,ccw,-0.145,1.616,0.046,3.164
S32,T06,Older,61,149.7,70.55,F,R,0.76,11.0,F,Treadmill,0.0,5.5,32.0,46.5,63.0,85.5,0.059,0.173,ccw,-0.074,1.254,-12.026,3.115
S33,OC,Older,63,172.3,72.25,M,R,0.88,6.0,C,Overground,0.0,5.5,25.0,44.0,61.5,81.0,0.125,0.14,ccw,1.794,4.423,8.702,5.048
S33,OF,Older,63,172.3,72.25,M,R,0.88,6.0,F,Overground,0.0,5.5,23.5,43.5,61.0,82.5,0.094,0.209,ccw,2.047,3.49,14.758,4.549
S33,OS,Older,63,172.3,72.25,M,R,0.88,6.0,S,Overground,0.0,4.5,19.5,44.5,62.5,79.5,0.129,0.098,ccw,1.301,2.183,7.148,4.284
S33,T01,Older,63,172.3,72.25,M,R,0.88,6.0,VS,Treadmill,0.0,2.5,22.5,49.5,67.5,80.5,0.146,0.015,cw,-0.304,4.222,7.195,6.061
S33,T02,Older,63,172.3,72.25,M,R,0.88,6.0,VS,Treadmill,0.0,4.0,27.5,48.5,66.5,80.0,0.14,0.025,cw,-0.302,3.245,8.981,6.145
S33,T03,Older,63,172.3,72.25,M,R,0.88,6.0,S,Treadmill,0.0,5.0,29.0,47.0,65.0,82.5,0.161,0.017,ccw,-0.129,3.042,10.263,5.569
S33,T04,Older,63,172.3,72.25,M,R,0.88,6.0,S,Treadmill,0.0,5.0,29.0,44.5,63.5,82.5,0.147,0.065,ccw,-0.156,2.981,13.863,6.097
S33,T05,Older,63,172.3,72.25,M,R,0.88,6.0,C,Treadmill,0.0,5.5,28.5,43.5,62.5,82.5,0.124,0.107,ccw,0.003,3.011,17.83,5.729
S33,T06,Older,63,172.3,72.25,M,R,0.88,6.0,F,Treadmill,0.0,5.5,29.5,42.5,62.0,83.0,0.1,0.166,ccw,0.108,3.219,0.025,5.559
S33,T07,Older,63,172.3,72.25,M,R,0.88,6.0,F,Treadmill,0.0,5.5,27.5,42.5,62.0,83.5,0.078,0.188,ccw,0.228,2.849,-0.004,5.726
S33,T08,Older,63,172.3,72.25,M,R,0.88,6.0,VF,Treadmill,0.0,5.5,25.5,42.5,61.0,84.0,0.089,0.233,ccw,0.148,2.757,-14.8,5.835
S34,OC,Older,62,164.5,70.5,M,R,0.83,6.0,C,Overground,0.0,5.5,22.0,47.5,66.5,85.0,0.122,0.121,ccw,0.626,1.125,4.894,3.334
S34,OF,Older,62,164.5,70.5,M,R,0.83,6.0,F,Overground,0.0,5.5,29.5,46.5,65.0,84.5,0.105,0.174,ccw,1.176,1.559,8.355,3.476
S34,OS,Older,62,164.5,70.5,M,R,0.83,6.0,S,Overground,0.0,5.0,31.5,49.0,66.0,82.5,0.132,0.054,ccw,0.469,1.243,6.682,3.64
S34,T01,Older,62,164.5,70.5,M,R,0.83,6.0,VS,Treadmill,0.0,4.0,34.5,48.0,68.5,83.0,0.179,0.002,ccw,-0.353,3.913,6.365,4.457
S34,T02,Older,62,164.5,70.5,M,R,0.83,6.0,VS,Treadmill,0.0,4.5,25.5,48.5,66.0,81.5,0.161,0.033,cw,-0.24,2.954,5.856,4.891
S34,T03,Older,62,164.5,70.5,M,R,0.83,6.0,S,Treadmill,0.0,4.5,23.5,47.5,66.0,83.0,0.186,0.012,cw,-0.177,2.338,5.777,4.636
S34,T04,Older,62,164.5,70.5,M,R,0.83,6.0,S,Treadmill,0.0,5.0,23.5,47.0,66.0,84.0,0.184,0.025,ccw,-0.164,2.154,6.305,4.398
S34,T05,Older,62,164.5,70.5,M,R,0.83,6.0,C,Treadmill,0.0,5.0,26.5,46.0,65.5,84.0,0.175,0.06,ccw,-0.102,2.211,7.876,4.344
S34,T06,Older,62,164.5,70.5,M,R,0.83,6.0,F,Treadmill,0.0,6.0,27.5,45.5,65.5,85.5,0.178,0.119,ccw,-0.123,2.041,8.902,4.329
S34,T07,Older,62,164.5,70.5,M,R,0.83,6.0,F,Treadmill,0.0,5.5,28.5,45.5,64.5,85.0,0.175,0.098,ccw,-0.088,2.15,9.208,4.467
S34,T08,Older,62,164.5,70.5,M,R,0.83,6.0,VF,Treadmill,0.0,6.0,27.0,45.0,64.0,84.0,0.173,0.13,ccw,-0.028,1.979,10.127,4.636
S35,OC,Older,68,167.0,70.25,M,R,0.86,6.0,C,Overground,0.0,7.0,22.5,48.5,66.0,85.0,0.111,0.122,ccw,1.429,2.195,7.797,3.423
S35,OF,Older,68,167.0,70.25,M,R,0.86,6.0,F,Overground,0.0,9.5,33.0,46.0,63.5,92.0,0.088,0.22,ccw,2.325,3.256,13.439,4.014
S35,OS,Older,68,167.0,70.25,M,R,0.86,6.0,S,Overground,0.0,8.5,31.5,52.5,69.0,87.0,0.123,0.059,ccw,0.928,1.759,7.547,3.302
S35,T01,Older,68,167.0,70.25,M,R,0.86,6.0,VS,Treadmill,0.0,5.0,35.0,55.5,73.5,86.5,0.097,0.074,cw,-0.363,4.142,4.14,3.421
S35,T02,Older,68,167.0,70.25,M,R,0.86,6.0,VS,Treadmill,0.0,7.0,33.0,55.5,72.0,87.5,0.136,0.048,cw,-0.114,2.817,5.779,3.399
S35,T03,Older,68,167.0,70.25,M,R,0.86,6.0,S,Treadmill,0.0,5.5,38.5,54.0,70.0,87.5,0.043,0.065,cw,0.246,1.941,5.552,1.99
S35,T04,Older,68,167.0,70.25,M,R,0.86,6.0,S,Treadmill,0.0,7.0,33.0,52.5,69.0,88.0,0.162,0.031,ccw,-0.24,2.351,8.905,3.274
S35,T05,Older,68,167.0,70.25,M,R,0.86,6.0,C,Treadmill,0.0,8.0,30.5,51.5,67.0,87.5,0.165,0.031,ccw,-0.307,2.509,9.632,3.896
S35,T06,Older,68,167.0,70.25,M,R,0.86,6.0,F,Treadmill,0.0,7.5,31.5,49.0,65.0,87.0,0.139,0.102,ccw,-0.321,2.521,12.496,4.151
S35,T07,Older,68,167.0,70.25,M,R,0.86,6.0,F,Treadmill,0.0,7.5,33.0,47.0,64.5,86.5,0.082,0.165,ccw,-0.231,2.286,0.031,4.315
S35,T08,Older,68,167.0,70.25,M,R,0.86,6.0,VF,Treadmill,0.0,7.0,30.5,44.0,63.0,85.5,0.038,0.144,ccw,-0.056,1.778,0.008,3.885
S36,OC,Older,63,174.3,73.1,M,R,0.96,9.0,C,Overground,0.0,4.5,24.5,47.0,63.5,84.5,0.109,0.128,ccw,1.561,2.857,12.937,5.281
S36,OF,Older,63,174.3,73.1,M,R,0.96,9.0,F,Overground,0.0,5.5,22.5,46.5,62.0,83.0,0.077,0.216,ccw,2.212,1.868,20.0,5.981
S36,OS,Older,63,174.3,73.1,M,R,0.96,9.0,S,Overground,0.0,3.5,24.0,49.0,65.0,83.5,0.12,0.025,ccw,0.949,2.533,9.667,6.009
S36,T02,Older,63,174.3,73.1,M,R,0.96,9.0,VS,Treadmill,0.0,3.5,25.0,52.5,68.5,85.5,0.089,0.048,cw,-0.287,6.763,9.075,6.15
S36,T03,Older,63,174.3,73.1,M,R,0.96,9.0,S,Treadmill,0.0,3.5,22.5,50.0,66.5,85.5,0.131,0.011,cw,-0.249,5.218,10.723,6.803
S36,T04,Older,63,174.3,73.1,M,R,0.96,9.0,S,Treadmill,0.0,5.0,24.5,49.0,65.5,85.5,0.158,0.027,ccw,0.104,3.739,12.578,6.384
S36,T05,Older,63,174.3,73.1,M,R,0.96,9.0,C,Treadmill,0.0,5.0,25.0,48.5,64.5,85.0,0.172,0.023,ccw,0.28,3.248,13.636,6.807
S36,T06,Older,63,174.3,73.1,M,R,0.96,9.0,F,Treadmill,0.0,5.0,24.0,48.0,64.0,83.0,0.136,0.085,ccw,0.64,2.795,21.319,6.869
S37,OC,Older,73,168.2,79.65,M,R,0.85,9.0,C,Overground,0.0,5.5,31.5,47.0,67.5,85.5,0.066,0.051,ccw,1.204,3.309,0.036,4.097
S37,OS,Older,73,168.2,79.65,M,R,0.85,9.0,S,Overground,0.0,4.0,33.0,49.5,67.5,83.5,0.073,0.037,ccw,1.064,2.642,11.479,4.132
S37,T01,Older,73,168.2,79.65,M,R,0.85,9.0,VS,Treadmill,0.0,1.0,30.5,52.0,69.5,86.0,0.058,0.006,ccw,0.006,4.6,12.684,5.891
S37,T02,Older,73,168.2,79.65,M,R,0.85,9.0,VS,Treadmill,0.0,1.0,29.5,51.0,67.5,85.0,0.055,0.014,ccw,-0.01,5.012,0.035,6.434
S37,T03,Older,73,168.2,79.65,M,R,0.85,9.0,S,Treadmill,0.0,2.0,30.5,43.5,67.0,87.0,0.047,0.049,ccw,-0.058,4.861,0.019,6.486
S37,T04,Older,73,168.2,79.65,M,R,0.85,9.0,S,Treadmill,0.0,4.0,30.5,43.5,66.5,85.5,0.064,0.074,ccw,-0.415,3.387,0.029,5.154
S37,T05,Older,73,168.2,79.65,M,R,0.85,9.0,C,Treadmill,0.0,3.0,25.0,44.0,65.0,85.5,0.041,0.07,ccw,-0.246,3.433,-0.006,5.255
S37,T06,Older,73,168.2,79.65,M,R,0.85,9.0,F,Treadmill,0.0,4.5,25.0,44.5,65.0,85.5,0.047,0.113,ccw,-0.572,3.332,-0.054,5.408
S37,T07,Older,73,168.2,79.65,M,R,0.85,9.0,F,Treadmill,0.0,4.5,24.0,45.5,63.5,85.0,0.057,0.146,ccw,-0.347,3.053,-8.418,5.076
S38,OC,Older,56,173.0,76.0,F,R,0.97,13.0,C,Overground,0.0,5.5,24.5,46.0,64.0,85.5,0.134,0.178,ccw,0.752,1.282,8.532,3.596
S38,OF,Older,56,173.0,76.0,F,R,0.97,13.0,F,Overground,0.0,6.0,27.5,45.0,63.5,85.0,0.062,0.28,ccw,1.295,1.084,16.339,3.432
S38,OS,Older,56,173.0,76.0,F,R,0.97,13.0,S,Overground,0.0,6.0,29.0,49.5,66.5,84.5,0.129,0.111,ccw,0.727,1.133,8.182,3.425
S38,T01,Older,56,173.0,76.0,F,R,0.97,13.0,VS,Treadmill,0.0,4.5,41.0,54.0,69.5,82.5,0.128,0.034,cw,-0.154,2.441,6.524,4.053
S38,T02,Older,56,173.0,76.0,F,R,0.97,13.0,VS,Treadmill,0.0,5.5,37.0,52.5,68.5,83.5,0.188,0.002,ccw,-0.056,2.243,8.341,3.946
S38,T03,Older,56,173.0,76.0,F,R,0.97,13.0,S,Treadmill,0.0,5.5,35.0,51.0,67.5,85.0,0.197,0.037,ccw,0.073,2.113,8.89,3.943
S38,T04,Older,56,173.0,76.0,F,R,0.97,13.0,S,Treadmill,0.0,6.0,27.0,50.5,66.0,86.5,0.193,0.047,ccw,0.099,1.591,8.929,4.148
S38,T05,Older,56,173.0,76.0,F,R,0.97,13.0,C,Treadmill,0.0,6.0,26.0,48.0,65.5,86.0,0.178,0.137,ccw,0.177,1.199,10.206,3.725
S38,T06,Older,56,173.0,76.0,F,R,0.97,13.0,F,Treadmill,0.0,6.0,28.0,45.0,64.5,86.5,0.152,0.245,ccw,0.188,1.527,17.958,4.124
S38,T07,Older,56,173.0,76.0,F,R,0.97,13.0,F,Treadmill,0.0,6.0,26.0,44.0,63.0,85.5,0.106,0.231,ccw,0.246,1.217,24.898,4.418
S38,T08,Older,56,173.0,76.0,F,R,0.97,13.0,VF,Treadmill,0.0,6.5,26.0,42.5,62.0,86.5,0.07,0.238,ccw,0.246,1.052,0.002,4.566
S39,OC,Older,84,155.5,66.35,M,R,0.79,11.0,C,Overground,0.0,3.5,35.0,48.0,66.0,85.5,0.072,0.088,ccw,0.982,2.789,0.016,3.72
S39,OF,Older,84,155.5,66.35,M,R,0.79,11.0,F,Overground,0.0,4.0,30.5,43.5,66.0,85.5,0.069,0.165,ccw,0.93,2.569,0.027,3.596
S39,OS,Older,84,155.5,66.35,M,R,0.79,11.0,S,Overground,0.0,3.5,27.0,46.5,66.5,81.5,0.121,0.036,ccw,0.588,2.068,6.477,3.783
S39,T01,Older,84,155.5,66.35,M,R,0.79,11.0,VS,Treadmill,0.0,1.5,31.0,56.5,70.0,83.0,0.055,0.086,cw,0.019,2.148,4.784,3.803
S39,T02,Older,84,155.5,66.35,M,R,0.79,11.0,VS,Treadmill,0.0,1.5,30.0,53.0,68.5,84.5,0.076,0.074,cw,-0.035,2.717,6.78,4.42
S39,T03,Older,84,155.5,66.35,M,R,0.79,11.0,S,Treadmill,0.0,1.5,31.0,49.5,66.5,85.5,0.094,0.011,cw,-0.047,3.767,0.061,4.81
S39,T04,Older,84,155.5,66.35,M,R,0.79,11.0,S,Treadmill,0.0,2.0,30.5,44.5,66.0,86.0,0.085,0.071,ccw,-0.108,3.625,-0.065,4.313
S39,T05,Older,84,155.5,66.35,M,R,0.79,11.0,C,Treadmill,0.0,3.0,22.0,37.0,66.5,87.0,0.087,0.099,ccw,-0.272,2.324,7.902,3.748
S39,T06,Older,84,155.5,66.35,M,R,0.79,11.0,F,Treadmill,0.0,2.5,26.0,47.0,65.5,88.5,0.082,0.17,ccw,0.0,3.84,-4.814,4.265
S40,OC,Older,68,147.0,49.2,F,L,0.71,11.0,C,Overground,0.0,5.5,26.5,42.5,64.0,87.5,0.055,0.227,ccw,1.545,1.999,10.42,2.606
S40,OF,Older,68,147.0,49.2,F,L,0.71,11.0,F,Overground,0.0,5.0,20.5,35.0,61.0,87.5,0.017,0.329,ccw,1.46,2.274,-2.654,2.166
S40,OS,Older,68,147.0,49.2,F,L,0.71,11.0,S,Overground,0.0,5.5,28.5,46.0,63.5,81.5,0.095,0.114,ccw,1.282,1.794,6.582,2.49
S40,T01,Older,68,147.0,49.2,F,L,0.71,11.0,VS,Treadmill,0.0,4.0,26.5,51.5,68.5,83.5,0.13,0.018,cw,-0.692,2.478,3.74,2.971
S40,T02,Older,68,147.0,49.2,F,L,0.71,11.0,VS,Treadmill,0.0,4.0,28.5,50.5,67.5,85.0,0.131,0.019,ccw,-0.495,1.843,5.935,3.156
S40,T03,Older,68,147.0,49.2,F,L,0.71,11.0,S,Treadmill,0.0,5.0,25.5,48.5,66.5,87.0,0.118,0.079,ccw,-0.434,1.637,7.696,3.282
S40,T04,Older,68,147.0,49.2,F,L,0.71,11.0,S,Treadmill,0.0,5.5,29.5,44.5,64.0,87.5,0.099,0.148,ccw,-1.367,1.773,10.108,3.434
S40,T05,Older,68,147.0,49.2,F,L,0.71,11.0,C,Treadmill,0.0,6.0,29.0,43.0,64.5,89.5,0.09,0.194,ccw,-0.262,1.627,11.744,3.222
S40,T06,Older,68,147.0,49.2,F,L,0.71,11.0,F,Treadmill,0.0,6.5,26.0,39.5,63.0,90.0,0.068,0.293,ccw,-0.574,1.801,0.037,3.304
S40,T07,Older,68,147.0,49.2,F,L,0.71,11.0,F,Treadmill,0.0,6.5,22.0,37.0,62.0,91.5,0.049,0.362,ccw,-0.351,1.611,-9.782,2.964
S40,T08,Older,68,147.0,49.2,F,L,0.71,11.0,VF,Treadmill,0.0,5.5,20.5,33.5,62.0,92.5,0.061,0.282,ccw,-0.371,0.952,-3.216,2.527
S41,OC,Older,55,149.5,74.05,F,R,0.75,9.0,C,Overground,0.0,7.0,29.5,44.5,66.0,85.0,0.064,0.13,ccw,0.858,2.023,8.713,2.933
S41,OF,Older,55,149.5,74.05,F,R,0.75,9.0,F,Overground,0.0,6.5,26.5,41.5,65.5,86.0,0.039,0.177,ccw,1.062,1.813,0.061,2.871
S41,OS,Older,55,149.5,74.05,F,R,0.75,9.0,S,Overground,0.0,5.5,34.5,51.5,69.5,85.0,0.07,0.047,ccw,0.629,1.309,8.653,3.028
S41,T01,Older,55,149.5,74.05,F,R,0.75,9.0,VS,Treadmill,0.0,2.5,23.5,53.0,71.5,84.5,0.091,0.029,cw,-0.297,2.392,3.89,3.855
S41,T02,Older,55,149.5,74.05,F,R,0.75,9.0,VS,Treadmill,0.0,4.0,31.0,52.0,68.5,84.0,0.103,0.02,cw,-0.242,2.863,7.067,4.483
S41,T03,Older,55,149.5,74.05,F,R,0.75,9.0,S,Treadmill,0.0,5.5,32.5,48.0,68.5,84.5,0.119,0.039,ccw,-0.166,2.409,8.583,3.724
S41,T04,Older,55,149.5,74.05,F,R,0.75,9.0,S,Treadmill,0.0,6.5,31.5,49.0,68.5,85.0,0.1,0.042,ccw,-0.216,2.15,11.144,3.641
S41,T05,Older,55,149.5,74.05,F,R,0.75,9.0,C,Treadmill,0.0,6.5,30.0,45.0,66.0,84.0,0.095,0.089,ccw,-0.158,2.29,0.054,3.864
S41,T06,Older,55,149.5,74.05,F,R,0.75,9.0,F,Treadmill,0.0,6.5,30.5,44.0,65.5,84.0,0.08,0.162,ccw,-0.029,2.111,0.034,3.701
S41,T07,Older,55,149.5,74.05,F,R,0.75,9.0,F,Treadmill,0.0,7.0,29.0,44.0,65.0,85.0,0.054,0.218,ccw,0.07,1.792,-0.004,3.702
S41,T08,Older,55,149.5,74.05,F,R,0.75,9.0,VF,Treadmill,0.0,7.0,26.0,41.5,64.0,84.5,0.061,0.261,ccw,0.168,1.812,-0.042,3.526
S42,OC,Older,63,161.2,59.85,F,R,0.82,9.0,C,Overground,0.0,5.5,31.5,47.5,65.5,81.0,0.109,0.09,ccw,1.078,1.888,9.379,4.093
S42,OF,Older,63,161.2,59.85,F,R,0.82,9.0,F,Overground,0.0,5.5,26.0,48.5,65.0,81.5,0.102,0.084,ccw,1.58,1.478,10.644,4.304
S42,T01,Older,63,161.2,59.85,F,R,0.82,9.0,VS,Treadmill,0.0,4.5,23.0,52.0,73.0,88.0,0.095,0.024,cw,-0.193,5.466,6.07,7.739
S42,T02,Older,63,161.2,59.85,F,R,0.82,9.0,VS,Treadmill,0.0,3.5,30.0,46.5,68.5,82.0,0.128,0.004,ccw,-0.176,4.649,8.88,6.913
S42,T03,Older,63,161.2,59.85,F,R,0.82,9.0,S,Treadmill,0.0,4.5,32.5,50.5,65.5,81.0,0.095,0.021,cw,-0.308,3.635,11.09,6.858
S42,T04,Older,63,161.2,59.85,F,R,0.82,9.0,S,Treadmill,0.0,5.5,25.5,41.0,65.5,81.0,0.105,0.008,ccw,0.025,3.327,9.921,7.74
S42,T05,Older,63,161.2,59.85,F,R,0.82,9.0,C,Treadmill,0.0,5.5,30.5,46.0,66.5,82.0,0.125,0.05,ccw,-0.094,3.176,14.573,5.755
S42,T06,Older,63,161.2,59.85,F,R,0.82,9.0,F,Treadmill,0.0,5.5,30.0,45.5,64.5,80.5,0.109,0.048,ccw,-0.02,2.772,16.099,6.419
S42,T07,Older,63,161.2,59.85,F,R,0.82,9.0,F,Treadmill,0.0,6.0,31.5,47.0,64.5,80.5,0.104,0.061,ccw,0.069,3.215,19.007,6.91
S42,T08,Older,63,161.2,59.85,F,R,0.82,9.0,VF,Treadmill,0.0,6.5,30.0,43.0,64.0,81.0,0.086,0.093,ccw,0.219,2.826,17.69,6.442
