,,AgeGroup,Age,Height,Mass,Gender,Dominance,LegLength,BorgScale,speed,mode,point 0,point 1,point 2,point 3,point 4,point 5,work abs,work prod,direction,CP,ERP,LRP,DP
S08,T06,Young,36,182.5,64.0,M,R,0.97,12.0,F,Treadmill,0.0,6.5,29.5,47.0,64.0,86.0,0.215,0.179,ccw,0.424,2.678,10.148,3.887
S08,T07,Young,36,182.5,64.0,M,R,0.97,12.0,F,Treadmill,0.0,5.5,29.5,45.5,62.0,84.5,0.175,0.245,ccw,0.656,2.338,13.942,4.345
S08,T08,Young,36,182.5,64.0,M,R,0.97,12.0,VF,Treadmill,0.0,5.5,30.5,45.5,61.5,84.0,0.129,0.263,ccw,0.951,1.868,21.925,4.225
S09,OC,Young,25,169.1,61.25,F,R,0.785833333333332,9.0,C,Overground,0.0,6.0,24.5,45.5,64.0,84.0,0.109,0.181,ccw,1.921,2.653,8.326,3.138
S09,OF,Young,25,169.1,61.25,F,R,0.787083333333332,9.0,F,Overground,0.0,6.5,27.0,43.0,62.0,85.5,0.06,0.277,ccw,1.996,3.207,17.74,3.406
S09,OS,Young,25,169.1,61.25,F,R,0.788333333333332,9.0,S,Overground,0.0,6.5,21.5,48.0,65.5,83.5,0.145,0.068,ccw,1.353,2.31,5.102,3.253
S09,T01,Young,25,169.1,61.25,F,R,0.785833333333332,9.0,VS,Treadmill,0.0,3.0,34.5,50.0,66.0,81.0,0.136,0.077,cw,-0.163,3.389,5.983,4.78
S09,T02,Young,25,169.1,61.25,F,R,0.787083333333332,9.0,VS,Treadmill,0.0,5.5,27.0,51.0,68.0,84.5,0.195,0.008,cw,0.052,2.304,5.822,3.553
S09,T03,Young,25,169.1,61.25,F,R,0.788333333333332,9.0,S,Treadmill,0.0,5.5,23.5,48.5,66.5,84.0,0.199,0.018,ccw,0.118,2.259,6.414,3.55
S09,T04,Young,25,169.1,61.25,F,R,0.785833333333332,9.0,S,Treadmill,0.0,5.0,25.0,46.5,66.0,84.5,0.148,0.071,ccw,0.115,2.273,7.788,3.395
S09,T05,Young,25,169.1,61.25,F,R,0.787083333333332,9.0,C,Treadmill,0.0,5.5,25.5,47.0,65.0,85.5,0.18,0.139,ccw,0.126,2.147,8.576,3.589
S09,T06,Young,25,169.1,61.25,F,R,0.788333333333332,9.0,F,Treadmill,0.0,6.0,27.5,45.5,65.0,86.5,0.151,0.195,ccw,0.26,2.017,11.529,3.261
S09,T07,Young,25,169.1,61.25,F,R,0.785833333333332,9.0,F,Treadmill,0.0,5.5,28.0,45.0,63.5,86.0,0.122,0.243,ccw,0.303,2.097,17.781,3.54
S09,T08,Young,25,169.1,61.25,F,R,0.787083333333332,9.0,VF,Treadmill,0.0,6.0,26.5,44.0,62.5,86.5,0.072,0.252,ccw,0.382,2.691,-0.039,3.836
S10,OC,Young,31,162.2,61.7,F,R,0.87,14.0,C,Overground,0.0,6.0,21.5,44.0,62.5,84.5,0.138,0.199,ccw,0.65,1.045,5.371,3.196
S10,OF,Young,31,162.2,61.7,F,R,0.87,14.0,F,Overground,0.0,6.0,26.5,42.5,61.0,84.0,0.1,0.329,ccw,1.028,0.863,8.605,3.597
S10,OS,Young,31,162.2,61.7,F,R,0.87,14.0,S,Overground,0.0,5.5,30.5,48.0,64.5,82.0,0.156,0.069,ccw,0.208,1.438,6.102,3.03
S10,T01,Young,31,162.2,61.7,F,R,0.87,14.0,VS,Treadmill,0.0,4.5,19.5,51.0,65.5,79.0,0.17,0.076,cw,-0.311,3.036,2.747,3.874
S10,T02,Young,31,162.2,61.7,F,R,0.87,14.0,VS,Treadmill,0.0,5.0,30.5,49.0,66.5,82.0,0.219,0.003,cw,-0.474,2.039,5.856,3.725
S10,T03,Young,31,162.2,61.7,F,R,0.87,14.0,S,Treadmill,0.0,5.5,31.5,47.5,65.5,83.0,0.21,0.037,ccw,-0.482,2.0,6.729,3.627
S10,T04,Young,31,162.2,61.7,F,R,0.87,14.0,S,Treadmill,0.0,6.0,26.0,47.0,65.0,85.5,0.192,0.121,ccw,-0.503,1.702,7.604,3.777
S10,T05,Young,31,162.2,61.7,F,R,0.87,14.0,C,Treadmill,0.0,5.0,27.5,44.0,62.5,84.0,0.11,0.026,ccw,-0.289,0.353,7.921,3.052
S10,T06,Young,31,162.2,61.7,F,R,0.87,14.0,F,Treadmill,0.0,6.0,28.0,44.5,62.5,84.0,0.174,0.178,ccw,-0.394,0.933,10.077,4.093
S10,T07,Young,31,162.2,61.7,F,R,0.87,14.0,F,Treadmill,0.0,6.0,28.5,42.0,61.5,85.0,0.174,0.289,ccw,-0.532,0.951,14.285,4.363
S10,T08,Young,31,162.2,61.7,F,R,0.87,14.0,VF,Treadmill,0.0,6.5,28.0,41.0,61.0,85.5,0.127,0.329,ccw,-0.344,0.919,17.533,3.985
S11,OC,Young,32,192.0,77.55,M,R,0.98,11.0,C,Overground,0.0,6.5,26.5,39.5,60.5,79.0,0.113,0.245,ccw,1.971,3.432,10.172,3.895
S11,OF,Young,32,192.0,77.55,M,R,0.98,11.0,F,Overground,0.0,8.0,32.5,45.5,63.5,84.0,0.085,0.412,ccw,2.68,5.894,-7.963,3.341
S11,OS,Young,32,192.0,77.55,M,R,0.98,11.0,S,Overground,0.0,6.5,25.5,44.0,67.5,83.5,0.125,0.121,ccw,1.283,3.293,8.984,4.271
S11,T01,Young,32,192.0,77.55,M,R,0.98,11.0,VS,Treadmill,0.0,5.5,30.5,51.5,70.5,83.5,0.179,0.012,ccw,0.203,2.872,9.548,4.404
S11,T02,Young,32,192.0,77.55,M,R,0.98,11.0,VS,Treadmill,0.0,6.5,30.5,47.5,68.0,82.5,0.166,0.085,ccw,0.467,3.415,11.072,4.913
S11,T03,Young,32,192.0,77.55,M,R,0.98,11.0,S,Treadmill,0.0,7.0,28.0,48.5,67.5,83.0,0.182,0.1,ccw,0.544,3.25,9.499,4.181
S11,T04,Young,32,192.0,77.55,M,R,0.98,11.0,S,Treadmill,0.0,6.5,25.0,39.5,66.0,83.0,0.143,0.205,ccw,0.628,4.314,10.557,3.948
S11,T05,Young,32,192.0,77.55,M,R,0.98,11.0,C,Treadmill,0.0,7.5,34.5,48.5,66.0,93.5,0.125,0.376,ccw,0.882,6.355,-2.827,3.297
S11,T06,Young,32,192.0,77.55,M,R,0.98,11.0,F,Treadmill,0.0,7.0,24.0,37.0,64.5,84.5,0.105,0.325,ccw,0.864,3.822,12.292,3.461
S11,T07,Young,32,192.0,77.55,M,R,0.98,11.0,F,Treadmill,0.0,7.5,31.0,44.0,64.0,86.0,0.077,0.4,ccw,1.238,4.995,-11.355,3.71
S11,T08,Young,32,192.0,77.55,M,R,0.98,11.0,VF,Treadmill,0.0,7.5,29.5,42.5,62.5,84.5,0.101,0.494,ccw,1.27,5.112,-6.099,3.439
S12,OC,Young,24,158.0,48.8,F,R,0.78,12.0,C,Overground,0.0,5.5,30.0,48.0,64.5,82.5,0.123,0.114,ccw,0.711,1.438,6.465,3.157
S12,OF,Young,24,158.0,48.8,F,R,0.78,12.0,F,Overground,0.0,6.0,31.0,45.5,64.0,84.0,0.105,0.219,ccw,1.081,2.019,8.189,2.867
S12,OS,Young,24,158.0,48.8,F,R,0.78,12.0,S,Overground,0.0,5.5,30.5,49.5,64.0,83.0,0.155,0.0,ccw,0.431,2.166,4.448,3.712
S12,T01,Young,24,158.0,48.8,F,R,0.78,12.0,VS,Treadmill,0.0,3.5,20.5,51.5,69.5,82.5,0.086,0.109,cw,-0.672,2.716,3.298,4.164
S12,T02,Young,24,158.0,48.8,F,R,0.78,12.0,VS,Treadmill,0.0,4.0,21.0,49.5,66.5,81.5,0.152,0.073,cw,-0.511,2.962,4.019,4.182
S12,T03,Young,24,158.0,48.8,F,R,0.78,12.0,S,Treadmill,0.0,5.0,29.0,49.5,67.0,82.5,0.157,0.074,cw,-0.475,2.6,4.723,4.042
S12,T04,Young,24,158.0,48.8,F,R,0.78,12.0,S,Treadmill,0.0,5.0,29.0,47.0,65.5,83.5,0.186,0.027,cw,-0.558,2.027,6.051,4.098
S12,T05,Young,24,158.0,48.8,F,R,0.78,12.0,C,Treadmill,0.0,5.0,30.0,47.0,65.0,84.0,0.179,0.019,ccw,-0.522,2.025,8.18,4.226
S12,T06,Young,24,158.0,48.8,F,R,0.78,12.0,F,Treadmill,0.0,5.0,30.0,45.0,64.5,83.5,0.153,0.054,ccw,-0.416,1.482,9.31,3.641
