,,work abs,work prod,direction
S06,T02,0.13443263723488033,0.03848370216135174,cw
S07,T02,0.1313124987308739,0.07747811331261048,cw
S08,T02,0.17515406035452716,0.06279220433922926,cw
S09,T02,0.19537167892045645,0.008081984469468518,cw
S10,T02,0.21946941937792522,0.0034788310564458015,cw
S11,T02,0.16586547285262487,0.08475909475888727,ccw
S12,T02,0.15194187078950838,0.07305196088510428,cw
S13,T02,0.09385449940146459,0.09243953110514952,cw
S14,T02,0.12826007115939217,0.07864664584431973,cw
S15,T02,0.1585015869518879,0.06453252987013282,cw
S16,T02,0.10586601470597116,0.08872307656281318,cw
S17,T02,0.13134276662004443,0.0008639005198484859,ccw
S18,T02,0.09706417165643151,0.09142556267237431,cw
S19,T02,0.16505529004157365,0.015353541143260735,ccw
S20,T02,0.13939898928921754,0.05156844701467085,cw
S21,T02,0.14503124302757361,0.06268782947697923,ccw
S22,T02,0.17678686148603662,0.024281900462437472,cw
S23,T02,0.1717528283989893,0.004116130686407578,ccw
S24,T02,0.11443118823004575,0.021049121580163522,cw
S25,T02,0.05407525253343581,0.09662167570989319,cw
S26,T02,0.12757562606413067,0.02734930679317574,cw
S27,T02,0.1306343199170499,0.03692930999681667,cw
S28,T02,0.11876831804836019,0.06840425923113796,cw
S29,T02,0.06521258557537968,0.14116073147968708,cw
S30,T02,0.12510606332658594,0.14898925599838422,cw
S31,T02,0.19144764910186648,0.026517368045650018,cw
S32,T02,0.13305772806356825,0.027189200266668344,ccw
S33,T02,0.13963714046387696,0.0253743966601475,cw
S34,T02,0.16092419461779636,0.03265152587293191,cw
S35,T02,0.13632518921586606,0.04811022417077539,cw
S36,T02,0.08903174547724382,0.04774433047570062,cw
S37,T02,0.05480370786038437,0.013909438424397435,ccw
S38,T02,0.18793879820134676,0.0018538219742510582,ccw
S39,T02,0.07633804016179575,0.07432136939646172,cw
S40,T02,0.1311201119176651,0.018880460124699922,ccw
S41,T02,0.10331875580570908,0.020117459286518383,cw
S42,T02,0.12815156724202817,0.004069182005104139,ccw
S01,T03,0.16530443864253258,0.048498999855017134,ccw
S02,T03,0.14849014549137818,0.07368845850192443,ccw
S03,T03,0.141659768038312,0.10160120289104817,cw
S04,T03,0.21488859166860153,0.006105699801128651,cw
S05,T03,0.16946995258889144,0.018211133887728707,ccw
S06,T03,0.16636899637848018,0.004705886649305094,ccw
S07,T03,0.141659768038312,0.10160120289104817,cw
S08,T03,0.21493695986908984,0.03002201428544628,cw
S09,T03,0.19900936427429844,0.01762971988011465,ccw
S10,T03,0.2101310857237607,0.03652737932452307,ccw
S11,T03,0.18198130171930832,0.10019754385037496,ccw
S12,T03,0.15724796052833173,0.07402185321637904,cw
S13,T03,0.12649465771516352,0.067396632458437,cw
S14,T03,0.14816048613821303,0.05341481458852801,cw
S15,T03,0.18391397707993987,0.01811195853457656,cw
S16,T03,0.1477386675108518,0.014493242137545437,cw
S17,T03,0.1077430632994461,0.08591398351810947,ccw
S18,T03,0.15413817141970057,0.03784971912103079,cw
S19,T03,0.16931511818439202,0.0085348716770284,ccw
S20,T03,0.1771372143607565,0.005830748513214476,ccw
S21,T03,0.12256657709202722,0.10591950037928716,ccw
S22,T03,0.1981981658894203,0.029039861669822892,ccw
S23,T03,0.1633219792786293,0.05538244211133828,ccw
S24,T03,0.14141419351723605,0.0015011572751060646,cw
S25,T03,0.10846694263814377,0.03898013713683214,cw
S26,T03,0.1333303570946312,0.03254518298610896,ccw
S27,T03,0.15586911634966355,0.017110508411893995,cw
S28,T03,0.15449628099509508,0.024281382817007296,cw
S29,T03,0.11653566396813565,0.0761036736519158,cw
S30,T03,0.14528179422337198,0.1238213705737177,cw
S31,T03,0.177685548846319,0.002845821827669951,ccw
S32,T03,0.12870552184586892,0.11749083131836491,ccw
S33,T03,0.16075620735255636,0.01720354119397092,ccw
S34,T03,0.18642348535456035,0.011675642238635963,cw
S35,T03,0.04314108168749159,0.06468706762635434,cw
S36,T03,0.13136154418874046,0.010827158807205849,cw
S37,T03,0.047320034985841655,0.049008487007188184,ccw
S38,T03,0.19676803098583523,0.0371279051969993,ccw
S39,T03,0.09421590207280617,0.01119382017247691,cw
S40,T03,0.11785923221684519,0.07903604978945067,ccw
S41,T03,0.11862867337857562,0.0394361171177524,ccw
S42,T03,0.0946575233692292,0.020998384234458087,cw
S01,T04,0.14761235997543487,0.07058058730260937,ccw
S02,T04,0.1613709932575586,0.07714330907394318,ccw
S03,T04,0.18329225802947693,0.036718399847085886,ccw
S04,T04,0.21346928696142387,0.050750898076825764,ccw
S05,T04,0.15971311229577553,0.0464488717188177,ccw
S06,T04,0.1674747098479719,0.05881674628858636,ccw
S07,T04,0.18329225802947693,0.036718399847085886,ccw
S08,T04,0.2382049159341611,0.049387668741096034,ccw
S09,T04,0.14815822202771667,0.0713746613323945,ccw
S10,T04,0.19154120547216677,0.12087271693123523,ccw
S11,T04,0.1425429628537941,0.2047032797493716,ccw
S12,T04,0.186219148359289,0.02733487221475107,cw
S13,T04,0.159362665040126,0.012511644216108413,cw
S14,T04,0.17855919776801327,0.01044260189807792,ccw
S15,T04,0.16101596365796803,0.07952003209837988,ccw
