Speed,QS phase,intercept,stiffness
S05_0021_Gait,DP,75.57590329912351,248.96421411088247
S06_0005_Gait,ERP,10.234724388134124,79.96542951394991
S06_0005_Gait,LRP,-28.48693390124145,262.0538455097219
S06_0005_Gait,DP,25.178948957636923,136.29131855497477
S06_0011_Gait,ERP,9.390649685892637,79.96542951394991
S06_0011_Gait,LRP,-37.69677879360679,262.0538455097219
S06_0011_Gait,DP,21.179142917602906,136.29131855497477
S07_0002_Gait,ERP,4.3784394662961175,77.70390467095567
S07_0002_Gait,LRP,-20.3298934080683,263.12652435500604
S07_0002_Gait,DP,23.77160073169142,146.63797240857122
S07_0015_Gait,ERP,6.384603039643383,77.70390467095567
S07_0015_Gait,LRP,-36.682432043374696,263.12652435500604
S07_0015_Gait,DP,10.761998966423995,146.63797240857122
S07_0017_Gait,ERP,7.841565716757529,77.70390467095567
S07_0017_Gait,LRP,-17.716779426180423,263.12652435500604
S07_0017_Gait,DP,19.074169838629338,146.63797240857122
S07_0018_Gait,ERP,4.241719832610216,77.70390467095567
S07_0018_Gait,LRP,-31.258666261400904,263.12652435500604
S07_0018_Gait,DP,18.674348464625567,146.63797240857122
S08_0008_Gait,ERP,0.5828182334601815,59.15763850655301
S08_0008_Gait,LRP,-55.62100968208824,251.08793661289525
S08_0008_Gait,DP,2.5418753325541767,165.5486735644968
S09_0008_Gait,ERP,2.1862500897861232,90.3138862543358
S09_0008_Gait,LRP,-28.139590177140192,238.19307939895447
S09_0008_Gait,DP,28.81585048869989,128.5832633053953
S09_0010_Gait,ERP,6.327043051411913,90.3138862543358
S09_0010_Gait,LRP,-13.978411218494973,238.19307939895447
S09_0010_Gait,DP,20.697675918521465,128.5832633053953
S09_0013_Gait,ERP,4.730162501313677,90.3138862543358
S09_0013_Gait,LRP,-46.85367753896519,238.19307939895447
S09_0013_Gait,DP,25.13034590054028,128.5832633053953
S09_0018_Gait,ERP,8.87556428173543,90.3138862543358
S09_0018_Gait,LRP,-35.282950377914524,238.19307939895447
S09_0018_Gait,DP,17.35129805116547,128.5832633053953
S11_0002_Gait,ERP,20.237061148136128,33.924221268932726
S11_0002_Gait,LRP,-118.11189680890092,289.3540502653211
S11_0002_Gait,DP,6.7516390894211575,106.67041074136637
S11_0017_Gait,ERP,33.507804908944365,33.924221268932726
S11_0017_Gait,LRP,-130.3182746422309,289.3540502653211
S11_0017_Gait,DP,-0.3957960291329954,106.67041074136637
S12_0005_Gait,ERP,5.152895929190605,154.30986337581362
S12_0005_Gait,LRP,-5.384540528689982,242.39291563691123
S12_0005_Gait,DP,36.32825342588436,152.23579330284642
S12_0016_Gait,ERP,24.655023577327245,154.30986337581362
S12_0016_Gait,LRP,25.78952096019596,242.39291563691123
S12_0016_Gait,DP,35.638523922323884,152.23579330284642
S13_0022_Gait,ERP,-12.150614949319019,169.95597886756497
S13_0022_Gait,LRP,-17.42761043432948,420.797232110209
S13_0022_Gait,DP,33.713520708677414,220.65912128094718
S14_0021_Gait,ERP,18.083867839099547,91.72350873065534
S14_0021_Gait,LRP,20.33400386726251,306.95695855876573
S14_0021_Gait,DP,51.04066879806438,138.213227892189
S14_0022_Gait,ERP,14.840909630401773,91.72350873065534
S14_0022_Gait,LRP,-2.179307904172383,306.95695855876573
S14_0022_Gait,DP,34.92963144723189,138.213227892189
S15_0002_Gait,ERP,4.629565168006848,143.36437241766149
S15_0002_Gait,LRP,-93.365880803169,654.0239095794418
S15_0002_Gait,DP,40.535904283075645,166.4558877947279
S15_0005_Gait,ERP,-2.149361041877576,143.36437241766149
S15_0005_Gait,LRP,-95.88459414537701,654.0239095794418
S15_0005_Gait,DP,44.49316528371644,166.4558877947279
S15_0007_Gait,ERP,0.31702188460759473,143.36437241766149
S15_0007_Gait,LRP,-135.2317350904204,654.0239095794418
S15_0007_Gait,DP,51.716369969850454,166.4558877947279
S15_0011_Gait,ERP,4.792010869492383,143.36437241766149
S15_0011_Gait,LRP,-122.62671016312099,654.0239095794418
S15_0011_Gait,DP,34.60874901222519,166.4558877947279
S16_0009_Gait,ERP,8.913176562559496,173.80905172497512
S16_0009_Gait,LRP,-78.69518911955699,580.6667172925044
S16_0009_Gait,DP,36.239468851415204,206.36264092220483
S16_0019_Gait,ERP,4.581467502100729,173.80905172497512
S16_0019_Gait,LRP,165.13438418979186,580.6667172925044
S16_0019_Gait,DP,38.986671964887684,206.36264092220483
S17_0006_Gait,ERP,4.690900808072908,95.9525109851435
S17_0006_Gait,LRP,-37.987642675540926,273.8907247001641
S17_0006_Gait,DP,16.62845323622071,113.81562101109213
S18_0003_Gait,ERP,27.914569874538802,330.2071136983899
S18_0003_Gait,LRP,17.610287378553927,431.11960533618316
S18_0003_Gait,DP,51.54327104557271,213.33566861506992
S18_0010_Gait,ERP,9.494165133076217,330.2071136983899
