Speed,QS phase,intercept,stiffness,MSE,R2
S02_0011_Gait,DP,27.482517561046635,182.86043847521861,161.74465057936368,0.8879524733650219
S02_0012_Gait,ERP,11.253960111368736,146.74229201432505,9.38654965232537,0.9593666517566812
S02_0012_Gait,LRP,-97.3619804781616,709.8400476676769,24.04252232385359,0.8421279543042685
S02_0012_Gait,DP,32.87044353454998,181.81967471232264,140.67913124364284,0.8834668785018724
S02_0013_Gait,ERP,12.362631601160704,160.51336811862237,7.8949170310734536,0.973212791290354
S02_0013_Gait,LRP,-48.48969790980941,510.47746504817337,13.671197780428914,0.9301791542326405
S02_0013_Gait,DP,44.49510426280661,177.50399281005122,37.55604152018581,0.9705942359779114
S02_0014_Gait,ERP,11.783307240306558,97.411683005786,9.49450852355016,0.8830572088680878
S02_0014_Gait,LRP,-73.22656448409069,614.9940764375804,5.202769178460664,0.9824068823144554
S02_0014_Gait,DP,32.26628863752162,173.68490333104623,207.66249690018856,0.8440938004689816
S02_0015_Gait,ERP,7.62212209430499,120.170734953328,4.305751259525596,0.9730373011288175
S02_0015_Gait,LRP,-136.76010122039096,761.9376127780168,43.329216159128364,0.7768851887507344
S02_0015_Gait,DP,24.33926672891716,177.08726545463574,149.48243667759638,0.876997037443587
S02_0017_Gait,ERP,10.43429742689925,151.35902563170242,8.971143994032248,0.9580730012717767
S02_0017_Gait,LRP,-88.8346221989186,677.3271939911851,7.892395148472457,0.9618953602586071
S02_0017_Gait,DP,27.62195166476939,172.5954160810735,201.93817193433304,0.8375285626642315
S02_0018_Gait,ERP,11.245181429274542,84.46329413190522,8.301542870028085,0.900963687330824
S02_0018_Gait,LRP,-73.6933682120763,512.6780061985537,4.581324986593522,0.9863810258142539
S02_0018_Gait,DP,27.795428560407125,182.62709512350588,129.01453668623842,0.9095656680623765
S02_0019_Gait,ERP,6.8611052288540915,178.0882910495423,7.454959240127306,0.9762977137358477
S02_0019_Gait,LRP,-62.97535301018806,588.3734000315476,28.591456704213993,0.8182832954585786
S02_0019_Gait,DP,44.94178479217117,193.1409615173908,27.361862458718825,0.9783688136145395
S03_0003_Gait,ERP,6.1701359212046345,182.99432701952324,5.352049280759561,0.9732073774230814
S03_0003_Gait,LRP,-9.974695626030794,455.1560745558994,31.583794807397336,0.9603453793650963
S03_0003_Gait,DP,32.66113272729166,238.30601587368398,337.8276956016109,0.8710865070602649
