,point 0,point 1,point 2,point 3,point 4
S34_0016_Gait,7,28,48,65,86
S34_0017_Gait,7,26,48,65,86
S34_0018_Gait,7,26,46,65,83
S34_0019_Gait,6,26,45,64,83
S34_0020_Gait,5,25,47,65,83
S34_0021_Gait,7,24,48,65,85
S34_0022_Gait,5,27,47,65,87
S35_0002_Gait,10,28,48,66,83
S35_0003_Gait,8,26,45,64,91
S35_0004_Gait,10,29,48,66,90
S35_0005_Gait,10,26,48,66,84
S35_0006_Gait,8,31,47,64,81
S35_0008_Gait,11,32,48,65,82
S35_0009_Gait,9,26,45,63,94
S35_0011_Gait,9,28,47,64,94
S35_0012_Gait,9,27,47,64,81
S35_0013_Gait,9,26,46,63,81
S35_0014_Gait,10,27,48,65,84
S35_0015_Gait,9,30,46,64,85
S35_0016_Gait,8,24,46,63,81
S35_0018_Gait,9,26,47,64,83
S35_0019_Gait,10,29,49,66,85
S35_0020_Gait,11,28,48,65,94
S35_0021_Gait,9,29,47,64,92
S36_0002_Gait,7,23,48,64,85
S36_0003_Gait,7,24,48,65,88
S36_0004_Gait,8,24,47,64,84
S36_0006_Gait,8,31,48,64,84
S36_0007_Gait,8,32,49,65,82
S36_0009_Gait,7,32,48,65,91
S36_0010_Gait,7,25,47,65,88
S36_0011_Gait,8,24,48,64,82
S36_0012_Gait,8,26,48,65,94
S36_0014_Gait,9,27,49,65,84
S36_0015_Gait,10,27,49,65,93
S36_0017_Gait,9,25,48,65,84
S36_0018_Gait,8,30,49,65,84
S36_0019_Gait,7,28,47,65,84
S36_0021_Gait,7,31,48,65,85
S37_0002_Gait,8,29,45,63,89
S37_0003_Gait,8,24,45,64,81
S37_0004_Gait,11,29,48,65,94
S37_0005_Gait,10,26,46,64,80
S37_0006_Gait,7,29,45,64,90
S37_0008_Gait,9,27,44,63,83
S37_0010_Gait,9,28,45,64,91
S37_0011_Gait,8,26,46,65,81
S37_0012_Gait,10,26,48,65,81
S37_0013_Gait,9,30,46,65,83
S37_0014_Gait,9,26,45,64,84
S37_0015_Gait,9,29,46,65,84
S37_0016_Gait,8,29,46,64,84
S37_0017_Gait,10,26,47,64,90
S37_0018_Gait,11,30,46,64,81
S37_0019_Gait,8,30,46,65,83
S37_0020_Gait,10,29,46,64,81
S37_0021_Gait,11,30,47,64,89
S38_0002_Gait,10,26,47,64,81
S38_0003_Gait,6,23,48,64,92
S38_0004_Gait,5,25,49,65,94
S38_0005_Gait,5,27,46,62,91
S38_0006_Gait,5,28,48,77,94
S38_0007_Gait,7,28,48,64,87
S38_0008_Gait,10,27,47,63,88
S38_0009_Gait,10,26,47,64,89
S38_0010_Gait,6,27,48,64,93
S38_0011_Gait,5,22,48,64,91
S38_0012_Gait,6,27,49,65,94
S38_0013_Gait,10,26,46,63,81
S38_0014_Gait,10,26,48,64,90
S38_0015_Gait,5,24,48,64,92
S38_0016_Gait,5,26,48,64,94
S38_0017_Gait,10,27,46,63,81
S38_0018_Gait,9,26,46,62,89
S38_0019_Gait,10,27,46,63,84
S38_0020_Gait,5,22,48,64,86
S38_0021_Gait,6,24,48,64,94
S39_0002_Gait,5,24,48,66,93
S39_0003_Gait,6,23,48,67,83
S39_0004_Gait,6,25,47,66,83
S39_0005_Gait,5,21,46,65,84
S39_0006_Gait,5,24,48,66,93
S39_0007_Gait,5,21,47,66,85
S39_0008_Gait,5,25,47,65,81
S39_0009_Gait,7,27,50,67,92
S39_0010_Gait,5,22,47,66,94
S39_0011_Gait,7,23,46,66,83
