,,,,intercept,stiffness,MSE,R2,inverted
TF01,contralateral,0.441,ERP,0.6393403694810023,3.3165192477068577,0.0031198978320702156,0.9528929840083878,False
TF01,contralateral,0.441,LRP,-0.30238356633836294,13.340113542459282,0.003307482096642295,0.971691313064064,False
TF01,contralateral,0.441,DP,1.759463061668218,3.545382252492582,0.010521292804445692,0.987556489649285,False
TF02,ipsilateral,0.127,CP,-0.03550312884693256,0.9895328106152578,3.261114904448622e-05,0.9006601586391867,False
TF02,ipsilateral,0.127,ERP,0.2212459651447067,4.656741799748538,0.0003174862758974679,0.9955984745466695,False
TF02,ipsilateral,0.127,LRP,-0.09985326455668242,5.694451273176701,0.0015886313705138137,0.9628681753609692,False
TF02,ipsilateral,0.159,CP,-0.05502011541489286,0.7799526194474197,7.7088589540743e-05,0.6298498508324127,False
TF02,ipsilateral,0.159,ERP,0.19587665000477938,4.6604671818617085,0.00045608439707320883,0.9937934200730139,False
TF02,ipsilateral,0.159,LRP,-0.151314702093521,6.3253925000201265,0.0011949426704579188,0.9763599172058086,False
TF02,ipsilateral,0.19,CP,-0.04792532731303334,0.8138747119019475,7.303562938011982e-05,0.7502995282193888,False
TF02,ipsilateral,0.19,ERP,0.20509551526568542,4.543055182348147,0.00030765563368433265,0.9969274361132043,False
TF02,ipsilateral,0.19,LRP,-0.12466170844215108,6.198492136637857,0.0008432781955957235,0.9890351865638183,False
TF02,ipsilateral,0.222,CP,-0.05144377952656302,0.7758138600272089,0.00019902446149632462,0.5423794186811468,False
TF02,ipsilateral,0.222,ERP,0.22280028503460225,4.19546221418485,4.767100853146407e-06,0.9997470791956046,False
TF02,ipsilateral,0.222,LRP,0.2437045299136239,4.431749542946814,9.424104399051115e-05,0.9973042354530371,False
TF02,contralateral,0.127,CP,-0.03029919528659478,0.3034288777724187,3.4029411123361862e-06,0.9624678198763267,False
TF02,contralateral,0.127,ERP,0.1818497962554557,2.7451988834645396,3.0674090158598914e-05,0.9854429743945352,False
TF02,contralateral,0.127,LRP,0.29788643134633064,3.0900458660144547,0.0006409204812389905,0.9893145028521156,False
TF02,contralateral,0.127,DP,0.2975074670858268,1.602850292656343,0.056893053168410423,0.5362353773185278,False
TF02,contralateral,0.159,CP,-0.041187211631979526,0.27789444402030317,8.069851967106095e-06,0.9070424268442299,False
TF02,contralateral,0.159,ERP,0.16469037002992148,2.559568200289904,4.9296197602227806e-06,0.997353333878357,False
TF02,contralateral,0.159,LRP,0.23282705972917433,3.101369694410079,0.00011517064492576483,0.9982144543691222,False
TF02,contralateral,0.159,DP,0.4342378221168096,1.9625303940528622,0.0009444623992986139,0.9891021662475862,False
TF02,contralateral,0.19,CP,-0.03626389289014137,0.41306758168509694,1.4082094489448777e-05,0.921297000325267,False
TF02,contralateral,0.19,ERP,0.26543716530662076,4.0204178075574015,0.0001328419831406988,0.9911449940348293,False
TF02,contralateral,0.19,LRP,0.28969777520301065,3.139767028987164,1.2257363420397774e-05,0.9996512114681316,False
TF02,contralateral,0.19,DP,0.4852248071701931,2.113342662940376,0.0008860802421148203,0.9918627301418236,False
TF02,contralateral,0.222,CP,-0.09557120961216294,-0.14192045369335463,9.888888972430785e-05,0.20141125937272342,False
TF02,contralateral,0.222,ERP,0.4937707720026122,5.761826021732478,8.894815824497743e-05,0.992128457899434,False
TF02,contralateral,0.222,LRP,0.408494383787135,3.561474951404883,0.00018468183930972918,0.9965355893031902,False
TF02,contralateral,0.222,DP,0.6536501668498532,2.4259145704817353,0.0008332736457800444,0.9941711426776407,False
TF05,ipsilateral,0.131,CP,-0.051399548734010876,1.2312930784286482,6.795028649307411e-06,0.9755000931963473,False
TF05,ipsilateral,0.131,ERP,0.2335133148025943,8.331114359062498,0.0029394132784717406,0.9782486238250572,False
TF05,ipsilateral,0.131,LRP,-0.14019324376602743,10.03409997043883,0.003760187434800236,0.97145412799797,False
TF05,ipsilateral,0.163,CP,-0.06604261223651568,1.117004529503559,2.3435709038446075e-05,0.9131624998452894,False
TF05,ipsilateral,0.163,ERP,0.20629834513499395,7.825934883870073,0.002202041041218902,0.9862592183085461,False
TF05,ipsilateral,0.163,LRP,-0.19983770213809549,10.014175719638345,0.0031917527346586962,0.9802017462164335,False
TF05,ipsilateral,0.196,CP,-0.06081518947792538,1.3751673442913326,2.2280623021397846e-05,0.9512850827084458,False
TF05,ipsilateral,0.196,ERP,0.20379201184596618,7.397710928183567,0.0019876715297266014,0.9889737199441807,False
TF05,ipsilateral,0.196,LRP,-0.2205199325742052,9.602152358944982,0.004082136238747988,0.9784030600351766,False
TF05,ipsilateral,0.229,CP,-0.09910414267592324,0.8310196531387699,4.268875023798656e-05,0.8375939265777237,False
TF05,ipsilateral,0.229,ERP,0.2343166574648866,6.93800547053328,0.0017271642896092318,0.991241114688396,False
TF05,ipsilateral,0.229,LRP,-0.18893498879139908,9.104910915559799,0.003943367288248323,0.9812844600193766,False
TF05,ipsilateral,0.262,CP,-0.12316946412251364,0.6316787741358633,0.0002797310520430454,0.3700840435737177,False
TF05,ipsilateral,0.262,ERP,0.248377238961682,6.566587792225195,0.0014184174220709727,0.9931703812816506,False
TF05,ipsilateral,0.262,LRP,-0.21356742014041907,9.163217431740184,0.0012892963911900928,0.9941633877900353,False
TF05,contralateral,0.131,CP,-0.010912952924318618,0.17467173534493236,5.692439447388689e-05,0.03651839189629713,True
TF05,contralateral,0.131,ERP,0.07164864334792195,4.054126344492382,0.0002267409416727506,0.9748927963484487,False
