,,TF15,TF15,TF15,TF15,TF15,TF15,TF15,TF15,TF15,TF15,TF15,TF15,TF15,TF15,TF15,TF15,TF15,TF15,TF15,TF15,TF15,TF15,TF15,TF15,TF15,TF15,TF15,TF15,TF15,TF15
,,ipsilateral,ipsilateral,ipsilateral,ipsilateral,ipsilateral,ipsilateral,ipsilateral,ipsilateral,ipsilateral,ipsilateral,ipsilateral,ipsilateral,ipsilateral,ipsilateral,ipsilateral,contralateral,contralateral,contralateral,contralateral,contralateral,contralateral,contralateral,contralateral,contralateral,contralateral,contralateral,contralateral,contralateral,contralateral,contralateral
,,0.19,0.19,0.19,0.254,0.254,0.254,0.317,0.317,0.317,0.381,0.381,0.381,0.444,0.444,0.444,0.19,0.19,0.19,0.254,0.254,0.254,0.317,0.317,0.317,0.381,0.381,0.381,0.444,0.444,0.444
,,-1sd,mean,+1sd,-1sd,mean,+1sd,-1sd,mean,+1sd,-1sd,mean,+1sd,-1sd,mean,+1sd,-1sd,mean,+1sd,-1sd,mean,+1sd,-1sd,mean,+1sd,-1sd,mean,+1sd,-1sd,mean,+1sd
position,0.007,-3.311257762787256,-3.2034762357575763,-3.0956947087278968,-3.8725757151224647,-3.733784915333333,-3.5949941155442016,-4.412045640456384,-4.220886347162161,-4.029727053867939,-5.151215174293079,-4.990523914615386,-4.829832654937692,-5.828174197632702,-5.583708249032254,-5.339242300431806,1.7327086740959046,2.4675736095454557,3.202438544995007,2.0141885888397395,2.742584624,3.4709806591602606,2.0039354842424357,2.905378308108108,3.8068211319737806,2.0170064359625144,2.812077141076924,3.6071478461913333,3.128740201167171,3.8301313611290335,4.531522521090896
position,0.008,-3.4047110578206534,-3.2943149696969707,-3.183918881573288,-3.972192487440313,-3.8316485413333337,-3.691104595226354,-4.522116435008703,-4.328822112432432,-4.135527789856161,-5.276034408530036,-5.113499858461539,-4.950965308393043,-5.9556812696424055,-5.717969957419353,-5.4802586451963,1.5535975304849328,2.2958581078787876,3.0381186852726425,1.8357140058831163,2.5661764906666673,3.296638975450218,1.820648197640163,2.7266200918918924,3.6325919861436216,1.8071102550669913,2.6054653919999993,3.4038205289330072,2.9176542895386426,3.621518260645162,4.325382231751681
position,0.009,-3.498157457039455,-3.3850233207575773,-3.2718891844756994,-4.069961692143906,-3.9277479423333337,-3.785534192522762,-4.6275025425492275,-4.432704553648647,-4.237906564748067,-5.398179182220458,-5.234055280153846,-5.069931378087233,-6.081337991268891,-5.850248485645162,-5.6191589800214325,1.3740806823714666,2.1239855662121214,2.873890450052776,1.653155248079239,2.3854966145,3.1178379809207613,1.6284246479977833,2.538947918648649,3.4494711892995147,1.591882775576073,2.3939179184615376,3.1959530613470024,2.7028574033805057,3.408748120161291,4.114638836942076
position,0.01,-3.588941253630763,-3.473113206060607,-3.3572851584904506,-4.167802985137979,-4.023843135000001,-3.879883284862022,-4.732352722692596,-4.536102612162163,-4.33985250163173,-5.516524957593833,-5.351046786153846,-5.185568614713859,-6.203022013001205,-5.978282385483872,-5.753542757966538,1.1899775447294458,1.9478291863636366,2.7056808279978273,1.4703198439307519,2.2048167383333337,2.9393136327359155,1.4352712581608025,2.350312867567568,3.265354476974334,1.3698406076607816,2.1758347846153847,2.981828961569988,2.47953709597959,3.1871617870967732,3.8947864782139563
position,0.011,-3.677156400241363,-3.5586924128787873,-3.440228425516212,-4.2651591338427375,-4.119547924166665,-3.9739367144905926,-4.837271742997146,-4.639500670675677,-4.4417295983542076,-5.634964375029829,-5.4680335570769225,-5.301102739124016,-6.3249120933411325,-6.106316285322581,-5.88772047730403,1.0014062968173194,1.767600141363636,2.5337939859099525,1.286847406384155,2.0237702741666665,2.760693141949178,1.2419723856921365,2.161677816486487,3.0813832472808373,1.1475877593354489,1.957732539999999,2.767877320664549,2.2560376287013493,2.965563110967742,3.675088593234135
position,0.012,-3.765207495823744,-3.6439566890909085,-3.522705882358073,-4.357715478282287,-4.210729207333333,-4.063742936384379,-4.941257958766735,-4.7419060194594564,-4.542554080152178,-5.753496419446425,-5.5850203280000015,-5.416544236553578,-6.447026091011901,-6.234350185161287,-6.021674279310673,0.812400326197027,1.5871737230303031,2.3619471198635793,1.099384741140939,1.838351304,2.577317866859061,1.0478253166800875,1.9723578378378381,2.8968903589955888,0.9251399088992504,1.7396302953846154,2.5541206818699806,2.0323736364207754,2.7439644348387087,3.455555233256642
position,0.013,-3.850820950430824,-3.7267387619696977,-3.6026565735085714,-4.449029498209017,-4.300583155166667,-4.152136812124317,-5.039380390702278,-4.839008152162162,-4.638635913622045,-5.8701094619426,-5.7002892892307715,-5.530469116518943,-6.568636168149294,-6.361706037580645,-6.154775907011996,0.6215860940784754,1.405143892575757,2.1887016910730384,0.9105161629444832,1.6517187876666668,2.3929214123888505,0.8496854894174056,1.7790740760810815,2.708462662744757,0.7012062403789598,1.5203703712307695,2.339534502082579,1.8082806609661908,2.5219665604838717,3.2356524600015524
position,0.014,-3.9325521587339978,-3.80589548939394,-3.6792388200538824,-4.540218623361054,-4.390324039666668,-4.240429455972282,-5.136391910885981,-4.935098976756756,-4.733806042627532,-5.980177337987305,-5.809252756,-5.638328174012695,-6.6828580228961485,-6.481421823870967,-6.279985624845786,0.4281017205577189,1.2208365660606064,2.013571411563494,0.721305714870845,1.4650833913333332,2.208861067795821,0.6508037052089176,1.5850382045945945,2.5192727039802714,0.4734333955980201,1.297651885230769,2.121870374863518,1.58049364984858,2.2955139832258067,3.0105343166030334
position,0.015,-4.013755880509386,-3.884342968939393,-3.7549300573693993,-4.629304793232007,-4.4782301125,-4.327155431767994,-5.2334764172425405,-5.031189801351351,-4.828903185460161,-6.0895232822598935,-5.9174045023076935,-5.745285722355494,-6.796544286626532,-6.600214408064517,-6.403884529502501,0.23421237073089152,1.0363404696969696,1.8384685686630475,0.5317249324832227,1.2782093083333335,2.024693684183444,0.4517965049723135,1.3910221817567565,2.3302478585411994,0.2451092963087338,1.0746076792307693,1.9041060621528048,1.3521165478425905,2.068657896774194,2.7851992457057975
position,0.016,-4.092939412811341,-3.96065128121212,-3.8283631496129,-4.7134346617247544,-4.561203785333334,-4.408972908941914,-5.328999975106903,-5.1256490756756765,-4.92229817624445,-6.198968232166855,-6.025556248615386,-5.852144265063917,-6.910488079034394,-6.7190069922580635,-6.527525905481733,0.040268961025426986,0.8519102896969696,1.6635516183685122,0.34137310369828355,1.0905383506666668,1.83970359763505,0.25279716801188423,1.1971039297297295,2.141410691447575,0.016578405822744835,0.8515634732307698,1.6865485406387948,1.1235583698841842,1.841801810322581,2.560045250760978
